id;descricao;categoria;und_medida;created;modified;quantidade
57;Milho com ervilha em Sachê 260g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
58;Batata Doce;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
59;Cravo 50g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
60;Refrigerante Guaraná 2L;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
61;Refrigerante Pitchula CocaCola 200ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
62;Molho de pimenta;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
63;Botijão de gás;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
64;Refrigerante Uva 2L;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
65;Suco de Uva 1,5L;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
66;Assadeira de Alumínio retangular;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
67;Colgate - pasta de dente 50g;LIMPEZA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
68;Maionese sachê, 1.020kg;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
69;Filme poliester;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
70;Palito dental;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
71;Assadeira aluminio oval;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
72;Pote de uva passas;HORTIFRUTI;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
73;Abóbora;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
74;Maça;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
75;Pão em pacote;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
76;Caixa embalagem 10;UTENSILIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
77;Alface;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
78;Cabeça de alho 🧄;HORTIFRUTI;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
79;Frango 🐓;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
80;Batata inglesa;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
81;Cenoura 🥕;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
82;Cheiro verde;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
83;Goiaba;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
84;Limão 🍋;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
85;Maracujá;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
86;Pimentão 🫑;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
87;Pimenta de Cheiro;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
88;Tomate 🍅;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
89;Leite em pó 200g;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
90;Margarina de 500g;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
91;Café 250g;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
92;Leite líquido 1L;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
93;Rapadura 700g;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
94;Sal 1kg;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
95;Floco de milho  500g;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
96;Farinha de trigo com fermento 1kg;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
97;Farinha amarela 1kg;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
98;Farinha temperada 250g;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
99;Macarrão espaguete 500g;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
100;Ovos 🥚;ACOUGUE;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
101;Tempero em pó 300g;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
102;Queijo parmesão ralado 50g;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
103;Leite condensado 270g;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
104;Creme de leite 200g;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
105;Vinagre de 500ml;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
106;Óleo 900 ml;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
107;Knorr de carne 2 cubos;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
108;Macarrão lasanha 200g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
109;Macarrão penne 500g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
110;Água sem gás 500ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
111;Leite de coco 200ml;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
112;Colorau 200g;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
113;Azeite de dendê 500ml;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
114;Milho de mungunzá 500g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
115;Milho verde em sachê 260g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
116;Molho de tomate 300g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
117;Leite de coco 500ml;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
118;Peito de frango 1Kg;ACOUGUE;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
119;Óleo 500 ml;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
120;Garrafão de Água 20L;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
121;Leite Condensado 395 g;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
122;Vinagre de 750ml;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
123;Margarina de 250g;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
124;Margarina de 1kg;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
125;Farinha de trigo sem fermento 500g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
126;Farinha de trigo sem fermento 25kg;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
127;Farinha D’agua 1kg;CEREAIS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
128;Knorr de frango 2 cubos;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
